race_code,Ｒ,場コード,距離,コース,頭数,クラス名,馬番,枠番,ketto_toroku_bango,馬名,年齢,性別,騎手,調教師,馬主(最新/仮想),斤量,オッズ,人気,場所
2026062702010501,01,02,1200,17,00,703,01,1,2023104914,ビアーレ,03,2,小林美駒,林徹　　,辻牧場,520,0000,00,函館
2026062702010501,01,02,1200,17,00,703,02,1,2023105125,アルサック,03,2,丹内祐次,柴田卓　,モンレーヴ,550,0000,00,函館
2026062702010501,01,02,1200,17,00,703,03,2,2023104248,フォークスアップ,03,1,古川吉洋,勢司和浩,千明牧場,570,0000,00,函館
2026062702010501,01,02,1200,17,00,703,04,2,2023102038,グリニッジローズ,03,2,大久保友,田中剛　,ローレルレーシング,520,0000,00,函館
2026062702010501,01,02,1200,17,00,703,05,3,2023105600,エフティヴェント,03,1,佐々木大,金成貴史,吉野　弘司,570,0000,00,函館
2026062702010501,01,02,1200,17,00,703,06,3,2023102408,リネアベルタ,03,2,岩田康誠,宮地貴稔,ノルマンディーサラブレッドレーシング,550,0000,00,函館
2026062702010501,01,02,1200,17,00,703,07,4,2023105836,フリーダムスタイル,03,2,横山和生,森田直行,中村　祐子,550,0000,00,函館
2026062702010501,01,02,1200,17,00,703,08,4,2023102176,スノーガーネット,03,2,横山琉人,中尾秀正,大樹ファーム,550,0000,00,函館
2026062702010501,01,02,1200,17,00,703,09,5,2023101563,レースクイーン,03,2,遠藤汰月,蛯名利弘,村田　哲朗,520,0000,00,函館
2026062702010501,01,02,1200,17,00,703,10,5,2023104689,ニシノオールワン,03,2,武豊　　,加藤征弘,西山　茂行,550,0000,00,函館
2026062702010501,01,02,1200,17,00,703,11,6,2023100846,サンアイディール,03,2,鷲頭虎太,宮本博　,加藤ステーブル,530,0000,00,函館
2026062702010501,01,02,1200,17,00,703,12,6,2023102312,ラブソング,03,2,黛弘人　,尾関知人,ミルファーム,550,0000,00,函館
2026062702010501,01,02,1200,17,00,703,13,7,2023101206,スーパーチャイルド,03,1,斎藤新　,本間忍　,山下　裕司,570,0000,00,函館
2026062702010501,01,02,1200,17,00,703,14,7,2023104857,アリアス,03,2,横山武史,高柳瑞樹,越村　洋子,550,0000,00,函館
2026062702010501,01,02,1200,17,00,703,15,8,2023107067,スイープセレニティ,03,2,岩田望来,宮田敬介,シルクレーシング,550,0000,00,函館
2026062702010501,01,02,1200,17,00,703,16,8,2023103536,ルージュアストレア,03,2,舟山瑠泉,栗田徹　,東京ホースレーシング,540,0000,00,函館
2026062702010502,02,02,1000,24,00,703,01,1,2023102480,サンタクローチェ,03,2,鷲頭虎太,西村真幸,岡田　隆寛,530,0000,00,函館
2026062702010502,02,02,1000,24,00,703,02,2,2023101660,スイーヴル,03,2,岩田望来,小椋研介,森田　至昭,550,0000,00,函館
2026062702010502,02,02,1000,24,00,703,03,3,2023107214,シルフ,03,2,和田陽希,藤野健太,シルクレーシング,520,0000,00,函館
2026062702010502,02,02,1000,24,00,703,04,4,2023103167,ロングフルスペック,03,2,古川吉洋,大根田裕,中井　敏雄,550,0000,00,函館
2026062702010502,02,02,1000,24,00,703,05,5,2023101755,アイビーミャーオ,03,2,松本大輝,小林真也,石坂茂ラボ,550,0000,00,函館
2026062702010502,02,02,1000,24,00,703,06,5,2023102753,クインズスズラン,03,2,横山和生,村田一誠,亀田　和弘,550,0000,00,函館
2026062702010502,02,02,1000,24,00,703,07,6,2023102748,ドリームガッサン,03,2,小林美駒,鈴木伸尋,西村　專次,520,0000,00,函館
2026062702010502,02,02,1000,24,00,703,08,6,2023101061,カレンココナ,03,2,斎藤新　,小林真也,鈴木　隆司,550,0000,00,函館
2026062702010502,02,02,1000,24,00,703,09,7,2023104607,チュラヴェール,03,2,丹内祐次,松山将樹,松澤　光洋,550,0000,00,函館
2026062702010502,02,02,1000,24,00,703,10,7,2023100966,マリブサーフ,03,2,舟山瑠泉,牧浦充徳,ＹＧＧホースクラブ,540,0000,00,函館
2026062702010502,02,02,1000,24,00,703,11,8,2023104581,アドバンスジェンヌ,03,2,佐々木大,小手川準,アドバンス・サッポロ,550,0000,00,函館
2026062702010502,02,02,1000,24,00,703,12,8,2023107306,セラサイト,03,2,河原田菜,茶木太樹,ＤＭＭドリームクラブ,510,0000,00,函館
2026062702010503,03,02,1700,24,00,703,01,1,2023105682,キセログラフィカ,03,1,横山武史,大和田成,金子真人ホールディングス,570,0000,00,函館
2026062702010503,03,02,1700,24,00,703,02,2,2023106106,サクセスブルー,03,1,佐々木大,秋本大介,小山田　明人,570,0000,00,函館
2026062702010503,03,02,1700,24,00,703,03,3,2023103504,ハイランダー,03,1,吉田隼人,大竹正博,シンシアリー,570,0000,00,函館
2026062702010503,03,02,1700,24,00,703,04,4,2023105365,ホウオウファラオ,03,1,岩田康誠,奥村武　,小笹　芳央,570,0000,00,函館
2026062702010503,03,02,1700,24,00,703,05,5,2023100645,トーレス,03,1,古川吉洋,秋山真一,河村　祥史,570,0000,00,函館
2026062702010503,03,02,1700,24,00,703,06,5,2023102982,エコロアビス,03,2,舟山瑠泉,牧浦充徳,原村　正紀,540,0000,00,函館
2026062702010503,03,02,1700,24,00,703,07,6,2023103231,ミスチヴマリアンヌ,03,2,大久保友,小野次郎,飯田　総一郎,520,0000,00,函館
2026062702010503,03,02,1700,24,00,703,08,6,2023105270,ルージュアイラ,03,2,鷲頭虎太,池江泰寿,東京ホースレーシング,530,0000,00,函館
2026062702010503,03,02,1700,24,00,703,09,7,2023104193,コイオステソーロ,03,1,丹内祐次,高木登　,了徳寺健二ホールディングス,570,0000,00,函館
2026062702010503,03,02,1700,24,00,703,10,7,2023102461,チリンドリ,03,1,松本大輝,昆貢　　,安原　浩司,570,0000,00,函館
2026062702010503,03,02,1700,24,00,703,11,8,2023102430,ホウオウバトラー,03,1,長浜鴻緒,尾形和幸,小笹　芳央,560,0000,00,函館
2026062702010503,03,02,1700,24,00,703,12,8,2023103621,シンエンドーツダ,03,1,原田和真,萱野浩二,望月　雅博,570,0000,00,函館
2026062702010504,04,02,1800,17,00,703,01,1,2023102923,インフィオラータ,03,2,浜中俊　,須貝尚介,飯田　正剛,550,0000,00,函館
2026062702010504,04,02,1800,17,00,703,02,1,2023101857,ララニューディー,03,1,横山琉人,大竹正博,フジイ興産,570,0000,00,函館
2026062702010504,04,02,1800,17,00,703,03,2,2023101446,オケアノステソーロ,03,1,大野拓弥,田中剛　,了徳寺健二ホールディングス,570,0000,00,函館
2026062702010504,04,02,1800,17,00,703,04,2,2023103155,エグジスタンス,03,1,佐々木大,奥村豊　,牧埜　幸一,570,0000,00,函館
2026062702010504,04,02,1800,17,00,703,05,3,2023103483,クールフィデル,03,1,横山和生,和田勇介,社台レースホース,570,0000,00,函館
2026062702010504,04,02,1800,17,00,703,06,3,2023105553,ヘイマー,03,1,長浜鴻緒,伊藤伸一,田頭　勇貴,560,0000,00,函館
2026062702010504,04,02,1800,17,00,703,07,4,2023106990,ゲフィオン,03,2,北村友一,辻野泰之,サンデーレーシング,550,0000,00,函館
2026062702010504,04,02,1800,17,00,703,08,4,2023106411,マンサニージャ,03,2,横山武史,菊川正達,ビッグレッドファーム,550,0000,00,函館
2026062702010504,04,02,1800,17,00,703,09,5,2023102358,ラウターユーベル,03,1,小沢大仁,青木孝文,ノルマンディーサラブレッドレーシング,570,0000,00,函館
2026062702010504,04,02,1800,17,00,703,10,5,2023102074,アルケミラモリス,03,2,大久保友,粕谷昌央,日進牧場,520,0000,00,函館
2026062702010504,04,02,1800,17,00,703,11,6,2023106910,エアヴァイブス,03,2,武豊　　,福永祐一,ラッキーフィールド,550,0000,00,函館
2026062702010504,04,02,1800,17,00,703,12,6,2023105888,ウインラファーガ,03,1,丹内祐次,村田一誠,ウイン,570,0000,00,函館
2026062702010504,04,02,1800,17,00,703,13,7,2023102166,ケナゲ,03,2,河原田菜,和田雄二,金岡　信康,510,0000,00,函館
2026062702010504,04,02,1800,17,00,703,14,7,2023107111,アイムイン,03,1,岩田望来,加藤征弘,平田　修,570,0000,00,函館
2026062702010504,04,02,1800,17,00,703,15,8,2023100238,ラップトップ,03,2,舟山瑠泉,小栗実　,槙　和美,540,0000,00,函館
2026062702010504,04,02,1800,17,00,703,16,8,2023104027,ダンツアラーム,03,2,遠藤汰月,本田優　,山元　哲二,520,0000,00,函館
2026062702010505,05,02,1200,17,00,701,01,1,2024100120,ステラトップガン,02,1,鮫島克駿,高柳大輔,広尾レース,550,0000,00,函館
2026062702010505,05,02,1200,17,00,701,02,2,2024104759,ミハテヌユメ,02,2,斎藤新　,前川恭子,飛野牧場,550,0000,00,函館
2026062702010505,05,02,1200,17,00,701,03,3,2024106853,ライーリーアース,02,2,原田和真,蛯名利弘,島川　隆哉,550,0000,00,函館
