race_code,Ｒ,場コード,距離,コース,頭数,クラス名,馬番,枠番,ketto_toroku_bango,馬名,年齢,性別,騎手,調教師,馬主(最新/仮想),斤量,オッズ,人気
2026062803020201,01,03,2750,54,14,703,01,1,2019105745,フレイムジョーカー,07,1,中村将之,岩戸孝樹,ノルマンディーサラブレッドレーシング,600,0161,06
2026062803020201,01,03,2750,54,14,703,02,2,2018101010,アウスヴァール,08,3,森一馬　,昆貢　　,ノルマンディーサラブレッドレーシング,600,0026,01
2026062803020201,01,03,2750,54,14,703,03,3,2020105031,シュハリ,06,1,江田勇亮,粕谷昌央,岡田　牧雄,600,0785,10
2026062803020201,01,03,2750,54,14,703,04,3,2020102955,ポワンキュルミナン,06,1,小牧加矢,岡田稲男,吉田　照哉,600,0127,05
2026062803020201,01,03,2750,54,14,703,05,4,2022100527,ブランフォルテ,04,1,水沼元輝,辻哲英　,天白　裕之,570,0404,08
2026062803020201,01,03,2750,54,14,703,06,4,2021104844,グロッシェン,05,1,難波剛健,手塚貴徳,社台レースホース,600,0184,07
2026062803020201,01,03,2750,54,14,703,07,5,2020102648,ラパンラピッド,06,3,坂口智康,武井亮　,シルクレーシング,570,0034,02
2026062803020201,01,03,2750,54,14,703,08,5,2020106585,ヴォンヌヴォー,06,2,黒岩悠　,天間昭一,平川　三津,580,1113,11
2026062803020201,01,03,2750,54,14,703,09,6,2021105335,トーアマリシテン,05,3,五十嵐雄,小島茂之,高山ランド,600,0051,03
2026062803020201,01,03,2750,54,14,703,10,6,2022103504,ブライトライツ,04,3,草野太郎,秋本大介,岡田　牧雄,600,2126,12
2026062803020201,01,03,2750,54,14,703,11,7,2019103719,モズクルードラゴン,07,1,小林凌大,天間昭一,木村　廣太,570,2911,14
2026062803020201,01,03,2750,54,14,703,12,7,2021100190,ニシノインヴィクタ,05,1,伴啓太　,本間忍　,西山　茂行,600,0656,09
2026062803020201,01,03,2750,54,14,703,13,8,2022103559,ロワゾブルー,04,2,土田真翔,小島茂之,ノルマンディーサラブレッドレーシング,570,2510,13
2026062803020201,01,03,2750,54,14,703,14,8,2021104669,サマーアゲイン,05,1,高田潤　,渡辺薫彦,ｇｌｉｔｔｅｒＧ,600,0083,04
2026062803020202,02,03,1700,24,14,703,01,1,2023104511,ゴールドフリーダム,03,3,菊沢一樹,青木孝文,居城　寿与,570,0460,07
2026062803020202,02,03,1700,24,14,703,02,2,2023104432,カラクリスピリッツ,03,2,小林脩斗,斎藤誠　,レッドマジック,550,0538,08
2026062803020202,02,03,1700,24,14,703,03,2,2023109056,カミノテイオー,03,1,木幡巧也,奥平雅士,村上　正喜,570,1982,12
2026062803020202,02,03,1700,24,14,703,04,3,2023105962,オセアフェアモント,03,1,野中悠太,菊川正達,ＸＩＡＯジャパン,570,2011,13
