race_code,日付raw,場コード,Ｒ,馬番,馬名,年齢,着順,騎手,調教師,オッズ,人気,着差,上がり3F,脚質,クラス名
2026061645030206,20260616,45,06,01,サザンホクトベガ,03,06,佐藤翔馬,鈴木伸尋,0000,03,+015,000,3,000
2026061645030206,20260616,45,06,02,ボンセレンシス,03,03,新原周馬,内田勝義,0000,05,+003,000,2,000
2026061645030206,20260616,45,06,03,ジャストキュート,03,10,武藤雅　,武藤善則,0000,04,+037,000,1,000
2026061645030206,20260616,45,06,04,ディル,03,09,本田正重,高橋文雅,0000,08,+035,000,4,000
2026061645030206,20260616,45,06,05,ブライトドリーム,03,02,藤田凌　,高野毅　,0000,02,+001,000,1,000
2026061645030206,20260616,45,06,06,ルーポ,03,01,笹川翼　,小崎憲　,0000,01,-001,000,1,000
2026061645030206,20260616,45,06,07,ラミアメロディア,03,04,和田譲治,秋山直之,0000,09,+013,000,2,000
2026061645030206,20260616,45,06,08,ヴァルク,03,07,丸田恭介,武市康男,0000,06,+021,000,4,000
2026061645030206,20260616,45,06,09,アルティーノ,03,11,藤本現暉,伊坂重信,0000,10,+062,000,4,000
2026061645030206,20260616,45,06,10,カナールレイナ,03,05,伊藤裕人,佐々木仁,0000,07,+015,000,2,000
2026061645030206,20260616,45,06,11,アシャカロッケ,03,08,西優哉　,鈴木伸尋,0000,11,+023,000,1,000
2026061645030210,20260616,45,10,01,ジョセフィーナ,05,06,高橋利幸,新井清重,0000,11,+009,000,4,000
2026061645030210,20260616,45,10,02,レグノ,05,05,佐藤翔馬,佐藤博紀,0000,08,+005,000,3,000
2026061645030210,20260616,45,10,03,モネ,07,11,新原周馬,林隆之　,0000,02,+022,000,3,000
2026061645030210,20260616,45,10,04,ユイノカタリベ,03,07,木幡初也,竹内正洋,0000,07,+010,000,4,000
2026061645030210,20260616,45,10,05,オリコウデレガンス,04,08,吉原寛人,安池成実,0000,04,+010,000,4,000
2026061645030210,20260616,45,10,06,アスクムービーオン,05,02,野畑凌　,前川恭子,0000,05,+002,000,1,000
2026061645030210,20260616,45,10,07,アーデルリーベ,04,10,笹川翼　,齋藤崇史,0000,01,+013,000,1,000
2026061645030210,20260616,45,10,08,タイセイデクスター,04,03,谷原柚希,伊藤圭三,0000,10,+003,000,2,000
2026061645030210,20260616,45,10,09,ルクスメンデス,04,01,矢野貴之,小崎憲　,0000,09,-002,000,1,000
2026061645030210,20260616,45,10,10,カサブランカキッド,06,04,ゴンサ　,和田勇介,0000,03,+003,000,4,000
2026061645030210,20260616,45,10,11,ノーブルアクト,06,09,和田譲治,上原博之,0000,06,+013,000,3,000
2026061748060210,20260617,48,10,01,ブルームザスマイル,03,01,今村聖奈,鈴木孝志,0000,01,-006,000,1,000
2026061748060210,20260617,48,10,02,センリョウヤクシャ,03,11,今井貴大,中尾秀正,0000,06,+022,000,3,000
2026061748060210,20260617,48,10,03,イヌボウノツキ,03,02,渡邊竜也,井上哲　,0000,02,+006,000,2,000
2026061748060210,20260617,48,10,04,ガビーズデトワール,03,03,大畑雅章,牧田和弥,0000,10,+009,000,3,000
2026061748060210,20260617,48,10,05,エコロラヴァー,03,10,加藤聡一,川西毅　,0000,03,+018,000,4,000
2026061748060210,20260617,48,10,06,ベアフォースワン,03,08,細川智史,宇都英樹,0000,12,+012,000,4,000
2026061748060210,20260617,48,10,07,ヤマヤロード,03,05,塚本征吾,小崎憲　,0000,08,+010,000,3,000
2026061748060210,20260617,48,10,08,ソルテソーロ,03,09,丹羽克輝,櫻井今朝,0000,07,+015,000,4,000
2026061748060210,20260617,48,10,09,エイシンピリオド,03,12,東川慎　,井上哲　,0000,09,+024,000,4,000
2026061748060210,20260617,48,10,10,フークフォルモサ,03,06,小笠原羚,瀬戸口悟,0000,11,+011,000,2,000
2026061748060210,20260617,48,10,11,ゴナビーオーライト,03,04,藤懸貴志,梅田智之,0000,05,+009,000,2,000
